PetalLength,PetalWidth,Probability
2.8,0.5,0.0344603
2.8,0.525253,0.0375388
2.8,0.550505,0.0408806
2.8,0.575758,0.0445063
2.8,0.60101,0.0484372
2.8,0.626263,0.0526962
2.8,0.651515,0.0573071
2.8,0.676768,0.0622949
2.8,0.70202,0.0676856
2.8,0.727273,0.0735063
2.8,0.752525,0.0797848
2.8,0.777778,0.0865494
2.8,0.80303,0.093829
2.8,0.828283,0.101653
2.8,0.853535,0.11005
2.8,0.878788,0.119048
2.8,0.90404,0.128676
2.8,0.929293,0.13896
2.8,0.954545,0.149925
2.8,0.979798,0.161592
2.8,1.00505,0.173981
2.8,1.0303,0.187108
2.8,1.05556,0.200985
2.8,1.08081,0.215618
2.8,1.10606,0.231008
2.8,1.13131,0.247151
2.8,1.15657,0.264034
2.8,1.18182,0.281639
2.8,1.20707,0.29994
2.8,1.23232,0.318901
2.8,1.25758,0.338482
2.8,1.28283,0.358633
2.8,1.30808,0.379294
2.8,1.33333,0.400404
2.8,1.35859,0.421889
2.8,1.38384,0.443674
2.8,1.40909,0.465679
2.8,1.43434,0.487817
2.8,1.4596,0.510003
2.8,1.48485,0.53215
2.8,1.5101,0.554172
2.8,1.53535,0.575982
2.8,1.56061,0.5975
2.8,1.58586,0.61865
2.8,1.61111,0.639359
2.8,1.63636,0.659562
2.8,1.66162,0.679201
2.8,1.68687,0.698226
2.8,1.71212,0.716593
2.8,1.73737,0.734268
2.8,1.76263,0.751223
2.8,1.78788,0.767439
2.8,1.81313,0.782903
2.8,1.83838,0.797611
2.8,1.86364,0.811561
2.8,1.88889,0.824762
2.8,1.91414,0.837223
2.8,1.93939,0.84896
2.8,1.96465,0.859993
2.8,1.9899,0.870342
2.8,2.01515,0.880034
2.8,2.0404,0.889093
2.8,2.06566,0.897548
2.8,2.09091,0.905427
2.8,2.11616,0.912759
2.8,2.14141,0.919572
2.8,2.16667,0.925897
2.8,2.19192,0.931762
2.8,2.21717,0.937194
2.8,2.24242,0.94222
2.8,2.26768,0.946867
2.8,2.29293,0.951159
2.8,2.31818,0.955121
2.8,2.34343,0.958776
2.8,2.36869,0.962145
2.8,2.39394,0.965248
2.8,2.41919,0.968106
2.8,2.44444,0.970735
2.8,2.4697,0.973154
2.8,2.49495,0.975378
2.8,2.5202,0.977422
2.8,2.54545,0.9793
2.8,2.57071,0.981025
2.8,2.59596,0.982609
2.8,2.62121,0.984062
2.8,2.64646,0.985396
2.8,2.67172,0.98662
2.8,2.69697,0.987742
