Iteration,Cost
0,0.692989
1,0.69283
2,0.692672
3,0.692514
4,0.692356
5,0.692197
6,0.692039
7,0.691881
8,0.691723
9,0.691565
10,0.691407
11,0.691249
12,0.691092
13,0.690934
14,0.690776
15,0.690618
16,0.690461
17,0.690303
18,0.690146
19,0.689988
20,0.689831
21,0.689673
22,0.689516
23,0.689359
24,0.689202
25,0.689044
26,0.688887
27,0.68873
28,0.688573
29,0.688416
30,0.688259
31,0.688103
32,0.687946
33,0.687789
34,0.687632
35,0.687476
36,0.687319
37,0.687163
38,0.687006
39,0.68685
40,0.686693
41,0.686537
42,0.686381
43,0.686224
44,0.686068
45,0.685912
46,0.685756
47,0.6856
48,0.685444
49,0.685288
50,0.685132
51,0.684976
52,0.68482
53,0.684665
54,0.684509
55,0.684353
56,0.684198
57,0.684042
58,0.683887
59,0.683731
60,0.683576
61,0.68342
62,0.683265
63,0.68311
64,0.682955
65,0.6828
66,0.682645
67,0.682489
68,0.682334
69,0.68218
70,0.682025
71,0.68187
72,0.681715
73,0.68156
74,0.681406
75,0.681251
76,0.681096
77,0.680942
78,0.680787
79,0.680633
80,0.680479
81,0.680324
82,0.68017
83,0.680016
84,0.679861
85,0.679707
86,0.679553
87,0.679399
88,0.679245
89,0.679091
90,0.678937
91,0.678784
92,0.67863
93,0.678476
94,0.678322
95,0.678169
96,0.678015
97,0.677862
98,0.677708
99,0.677555
100,0.677401
101,0.677248
102,0.677095
103,0.676941
104,0.676788
105,0.676635
106,0.676482
107,0.676329
108,0.676176
109,0.676023
110,0.67587
111,0.675717
112,0.675564
113,0.675412
114,0.675259
115,0.675106
116,0.674954
117,0.674801
118,0.674649
119,0.674496
120,0.674344
121,0.674191
122,0.674039
123,0.673887
124,0.673735
125,0.673582
126,0.67343
127,0.673278
128,0.673126
129,0.672974
130,0.672822
131,0.67267
132,0.672519
133,0.672367
134,0.672215
135,0.672064
136,0.671912
137,0.67176
138,0.671609
139,0.671457
140,0.671306
141,0.671155
142,0.671003
143,0.670852
144,0.670701
145,0.67055
146,0.670398
147,0.670247
148,0.670096
149,0.669945
150,0.669794
151,0.669643
152,0.669493
153,0.669342
154,0.669191
155,0.66904
156,0.66889
157,0.668739
158,0.668589
159,0.668438
160,0.668288
161,0.668137
162,0.667987
163,0.667837
164,0.667686
165,0.667536
166,0.667386
167,0.667236
168,0.667086
169,0.666936
170,0.666786
171,0.666636
172,0.666486
173,0.666336
174,0.666186
175,0.666037
176,0.665887
177,0.665737
178,0.665588
179,0.665438
180,0.665289
181,0.665139
182,0.66499
183,0.664841
184,0.664691
185,0.664542
186,0.664393
187,0.664244
188,0.664095
189,0.663946
190,0.663797
191,0.663648
192,0.663499
193,0.66335
194,0.663201
195,0.663052
196,0.662904
197,0.662755
198,0.662606
199,0.662458
200,0.662309
201,0.662161
202,0.662013
203,0.661864
204,0.661716
205,0.661568
206,0.661419
207,0.661271
208,0.661123
209,0.660975
210,0.660827
211,0.660679
212,0.660531
213,0.660383
214,0.660235
215,0.660087
216,0.65994
217,0.659792
218,0.659644
219,0.659497
220,0.659349
221,0.659202
222,0.659054
223,0.658907
224,0.658759
225,0.658612
226,0.658465
227,0.658318
228,0.65817
229,0.658023
230,0.657876
231,0.657729
232,0.657582
233,0.657435
234,0.657288
235,0.657141
236,0.656995
237,0.656848
238,0.656701
239,0.656554
240,0.656408
241,0.656261
242,0.656115
243,0.655968
244,0.655822
245,0.655676
246,0.655529
247,0.655383
248,0.655237
249,0.65509
250,0.654944
251,0.654798
252,0.654652
253,0.654506
254,0.65436
255,0.654214
256,0.654069
257,0.653923
258,0.653777
259,0.653631
260,0.653486
261,0.65334
262,0.653194
263,0.653049
264,0.652903
265,0.652758
266,0.652613
267,0.652467
268,0.652322
269,0.652177
270,0.652031
271,0.651886
272,0.651741
273,0.651596
274,0.651451
275,0.651306
276,0.651161
277,0.651016
278,0.650872
279,0.650727
280,0.650582
281,0.650437
282,0.650293
283,0.650148
284,0.650004
285,0.649859
286,0.649715
287,0.64957
288,0.649426
289,0.649282
290,0.649137
291,0.648993
292,0.648849
293,0.648705
294,0.648561
295,0.648417
296,0.648273
297,0.648129
298,0.647985
299,0.647841
300,0.647697
301,0.647553
302,0.64741
303,0.647266
304,0.647122
305,0.646979
306,0.646835
307,0.646692
308,0.646548
309,0.646405
310,0.646262
311,0.646118
312,0.645975
313,0.645832
314,0.645689
315,0.645546
316,0.645403
317,0.64526
318,0.645117
319,0.644974
320,0.644831
321,0.644688
322,0.644545
323,0.644403
324,0.64426
325,0.644117
326,0.643975
327,0.643832
328,0.64369
329,0.643547
330,0.643405
331,0.643262
332,0.64312
333,0.642978
334,0.642835
335,0.642693
336,0.642551
337,0.642409
338,0.642267
339,0.642125
340,0.641983
341,0.641841
342,0.641699
343,0.641557
344,0.641416
345,0.641274
346,0.641132
347,0.640991
348,0.640849
349,0.640707
350,0.640566
351,0.640424
352,0.640283
353,0.640142
354,0.64
355,0.639859
356,0.639718
357,0.639577
358,0.639436
359,0.639294
360,0.639153
361,0.639012
362,0.638871
363,0.638731
364,0.63859
365,0.638449
366,0.638308
367,0.638167
368,0.638027
369,0.637886
370,0.637745
371,0.637605
372,0.637464
373,0.637324
374,0.637184
375,0.637043
376,0.636903
377,0.636763
378,0.636622
379,0.636482
380,0.636342
381,0.636202
382,0.636062
383,0.635922
384,0.635782
385,0.635642
386,0.635502
387,0.635362
388,0.635223
389,0.635083
390,0.634943
391,0.634803
392,0.634664
393,0.634524
394,0.634385
395,0.634245
396,0.634106
397,0.633967
398,0.633827
399,0.633688
400,0.633549
401,0.633409
402,0.63327
403,0.633131
404,0.632992
405,0.632853
406,0.632714
407,0.632575
408,0.632436
409,0.632298
410,0.632159
411,0.63202
412,0.631881
413,0.631743
414,0.631604
415,0.631465
416,0.631327
417,0.631188
418,0.63105
419,0.630912
420,0.630773
421,0.630635
422,0.630497
423,0.630358
424,0.63022
425,0.630082
426,0.629944
427,0.629806
428,0.629668
429,0.62953
430,0.629392
431,0.629254
432,0.629117
433,0.628979
434,0.628841
435,0.628703
436,0.628566
437,0.628428
438,0.628291
439,0.628153
440,0.628016
441,0.627878
442,0.627741
443,0.627603
444,0.627466
445,0.627329
446,0.627192
447,0.627055
448,0.626918
449,0.62678
450,0.626643
451,0.626506
452,0.62637
453,0.626233
454,0.626096
455,0.625959
456,0.625822
457,0.625686
458,0.625549
459,0.625412
460,0.625276
461,0.625139
462,0.625003
463,0.624866
464,0.62473
465,0.624593
466,0.624457
467,0.624321
468,0.624185
469,0.624048
470,0.623912
471,0.623776
472,0.62364
473,0.623504
474,0.623368
475,0.623232
476,0.623096
477,0.622961
478,0.622825
479,0.622689
480,0.622553
481,0.622418
482,0.622282
483,0.622146
484,0.622011
485,0.621875
486,0.62174
487,0.621605
488,0.621469
489,0.621334
490,0.621199
491,0.621063
492,0.620928
493,0.620793
494,0.620658
495,0.620523
496,0.620388
497,0.620253
498,0.620118
499,0.619983
500,0.619848
501,0.619714
502,0.619579
503,0.619444
504,0.619309
505,0.619175
506,0.61904
507,0.618906
508,0.618771
509,0.618637
510,0.618502
511,0.618368
512,0.618234
513,0.618099
514,0.617965
515,0.617831
516,0.617697
517,0.617563
518,0.617429
519,0.617295
520,0.617161
521,0.617027
522,0.616893
523,0.616759
524,0.616625
525,0.616491
526,0.616358
527,0.616224
528,0.61609
529,0.615957
530,0.615823
531,0.61569
532,0.615556
533,0.615423
534,0.61529
535,0.615156
536,0.615023
537,0.61489
538,0.614757
539,0.614623
540,0.61449
541,0.614357
542,0.614224
543,0.614091
544,0.613958
545,0.613825
546,0.613692
547,0.61356
548,0.613427
549,0.613294
550,0.613161
551,0.613029
552,0.612896
553,0.612764
554,0.612631
555,0.612499
556,0.612366
557,0.612234
558,0.612102
559,0.611969
560,0.611837
561,0.611705
562,0.611573
563,0.61144
564,0.611308
565,0.611176
566,0.611044
567,0.610912
568,0.61078
569,0.610648
570,0.610517
571,0.610385
572,0.610253
573,0.610121
574,0.60999
575,0.609858
576,0.609726
577,0.609595
578,0.609463
579,0.609332
580,0.609201
581,0.609069
582,0.608938
583,0.608807
584,0.608675
585,0.608544
586,0.608413
587,0.608282
588,0.608151
589,0.60802
590,0.607889
591,0.607758
592,0.607627
593,0.607496
594,0.607365
595,0.607234
596,0.607104
597,0.606973
598,0.606842
599,0.606712
600,0.606581
601,0.606451
602,0.60632
603,0.60619
604,0.606059
605,0.605929
606,0.605798
607,0.605668
608,0.605538
609,0.605408
610,0.605278
611,0.605147
612,0.605017
613,0.604887
614,0.604757
615,0.604627
616,0.604497
617,0.604368
618,0.604238
619,0.604108
620,0.603978
621,0.603849
622,0.603719
623,0.603589
624,0.60346
625,0.60333
626,0.603201
627,0.603071
628,0.602942
629,0.602812
630,0.602683
631,0.602554
632,0.602425
633,0.602295
634,0.602166
635,0.602037
636,0.601908
637,0.601779
638,0.60165
639,0.601521
640,0.601392
641,0.601263
