Iteration,Cost
0,0.676422
1,0.661246
2,0.647471
3,0.634956
4,0.623574
5,0.613211
6,0.603763
7,0.595136
8,0.587245
9,0.580017
10,0.573385
11,0.567289
12,0.561677
13,0.556501
14,0.55172
15,0.547295
16,0.543194
17,0.539387
18,0.535848
19,0.532551
20,0.529477
21,0.526606
22,0.523921
23,0.521406
24,0.519047
25,0.516832
26,0.514749
27,0.512788
28,0.51094
29,0.509196
30,0.507547
31,0.505989
32,0.504512
33,0.503113
34,0.501785
35,0.500524
36,0.499325
37,0.498183
38,0.497096
39,0.496059
40,0.495069
41,0.494124
42,0.49322
43,0.492355
44,0.491527
45,0.490733
46,0.489971
47,0.48924
48,0.488537
49,0.487862
50,0.487212
51,0.486586
52,0.485982
53,0.485401
54,0.484839
55,0.484297
56,0.483773
57,0.483266
58,0.482776
59,0.482301
60,0.481841
61,0.481395
62,0.480962
63,0.480542
64,0.480134
65,0.479737
66,0.479351
67,0.478976
68,0.478611
69,0.478255
70,0.477908
71,0.477569
72,0.477239
73,0.476917
74,0.476602
75,0.476294
76,0.475993
77,0.475699
78,0.475411
79,0.475128
80,0.474852
81,0.474581
82,0.474315
83,0.474055
84,0.473799
85,0.473548
86,0.473301
87,0.473059
88,0.47282
89,0.472586
90,0.472355
91,0.472128
92,0.471905
93,0.471684
94,0.471467
95,0.471253
96,0.471042
97,0.470834
98,0.470629
99,0.470426
100,0.470226
101,0.470029
102,0.469833
103,0.46964
104,0.469449
105,0.469261
106,0.469074
107,0.468889
108,0.468707
109,0.468526
110,0.468347
111,0.468169
112,0.467993
113,0.467819
114,0.467646
115,0.467475
116,0.467305
117,0.467137
118,0.46697
119,0.466804
120,0.46664
121,0.466476
122,0.466314
123,0.466153
124,0.465993
125,0.465834
126,0.465677
127,0.46552
128,0.465364
129,0.465209
130,0.465055
131,0.464902
132,0.464749
133,0.464598
134,0.464447
135,0.464297
136,0.464148
137,0.463999
138,0.463852
139,0.463705
140,0.463558
141,0.463412
142,0.463267
143,0.463123
144,0.462979
145,0.462835
146,0.462692
147,0.46255
148,0.462408
149,0.462267
150,0.462126
151,0.461986
152,0.461846
153,0.461706
154,0.461567
155,0.461429
156,0.461291
157,0.461153
158,0.461016
159,0.460879
160,0.460742
161,0.460606
162,0.46047
163,0.460335
164,0.460199
165,0.460065
166,0.45993
167,0.459796
168,0.459662
169,0.459528
170,0.459395
171,0.459262
172,0.459129
173,0.458996
174,0.458864
175,0.458732
176,0.4586
177,0.458469
178,0.458338
179,0.458206
180,0.458076
181,0.457945
182,0.457815
183,0.457684
184,0.457554
185,0.457425
186,0.457295
187,0.457166
188,0.457036
189,0.456907
190,0.456779
191,0.45665
192,0.456521
193,0.456393
194,0.456265
195,0.456137
196,0.456009
197,0.455881
198,0.455754
199,0.455626
200,0.455499
201,0.455372
202,0.455245
203,0.455118
204,0.454992
205,0.454865
206,0.454739
