Iteration,Cost
0,0.693081
1,0.693015
2,0.692949
3,0.692883
4,0.692818
5,0.692752
6,0.692686
7,0.69262
8,0.692555
9,0.692489
10,0.692424
11,0.692358
12,0.692293
13,0.692227
14,0.692162
15,0.692096
16,0.692031
17,0.691966
18,0.691901
19,0.691836
20,0.69177
21,0.691705
22,0.69164
23,0.691575
24,0.69151
25,0.691446
26,0.691381
27,0.691316
28,0.691251
29,0.691186
30,0.691122
31,0.691057
32,0.690992
33,0.690928
34,0.690863
35,0.690799
36,0.690735
37,0.69067
38,0.690606
39,0.690542
40,0.690477
41,0.690413
42,0.690349
43,0.690285
44,0.690221
45,0.690157
46,0.690093
47,0.690029
48,0.689965
49,0.689901
50,0.689837
51,0.689774
52,0.68971
53,0.689646
54,0.689583
55,0.689519
56,0.689455
57,0.689392
58,0.689328
59,0.689265
60,0.689202
61,0.689138
62,0.689075
63,0.689012
64,0.688948
65,0.688885
66,0.688822
67,0.688759
68,0.688696
69,0.688633
70,0.68857
71,0.688507
72,0.688444
73,0.688381
74,0.688319
75,0.688256
76,0.688193
77,0.68813
78,0.688068
79,0.688005
80,0.687943
81,0.68788
82,0.687818
83,0.687755
84,0.687693
85,0.687631
86,0.687568
87,0.687506
88,0.687444
89,0.687382
90,0.687319
91,0.687257
92,0.687195
93,0.687133
94,0.687071
95,0.687009
96,0.686947
97,0.686886
98,0.686824
99,0.686762
100,0.6867
101,0.686638
102,0.686577
103,0.686515
104,0.686454
105,0.686392
106,0.686331
107,0.686269
108,0.686208
109,0.686146
110,0.686085
111,0.686024
112,0.685962
113,0.685901
114,0.68584
115,0.685779
116,0.685718
117,0.685657
118,0.685596
119,0.685535
120,0.685474
121,0.685413
122,0.685352
123,0.685291
124,0.68523
125,0.68517
126,0.685109
127,0.685048
128,0.684988
129,0.684927
130,0.684867
131,0.684806
132,0.684746
133,0.684685
134,0.684625
135,0.684564
136,0.684504
137,0.684444
138,0.684383
139,0.684323
140,0.684263
141,0.684203
142,0.684143
143,0.684083
144,0.684023
145,0.683963
146,0.683903
147,0.683843
148,0.683783
149,0.683723
150,0.683664
151,0.683604
152,0.683544
153,0.683484
154,0.683425
155,0.683365
156,0.683306
157,0.683246
158,0.683187
159,0.683127
160,0.683068
161,0.683008
162,0.682949
163,0.68289
164,0.682831
165,0.682771
166,0.682712
167,0.682653
168,0.682594
169,0.682535
170,0.682476
171,0.682417
172,0.682358
173,0.682299
174,0.68224
175,0.682181
176,0.682122
177,0.682064
178,0.682005
179,0.681946
180,0.681887
181,0.681829
182,0.68177
183,0.681712
184,0.681653
185,0.681595
186,0.681536
187,0.681478
188,0.681419
189,0.681361
190,0.681303
191,0.681244
192,0.681186
193,0.681128
194,0.68107
195,0.681012
196,0.680954
197,0.680896
198,0.680838
199,0.68078
200,0.680722
201,0.680664
202,0.680606
203,0.680548
204,0.68049
205,0.680432
206,0.680375
207,0.680317
208,0.680259
209,0.680202
210,0.680144
211,0.680087
212,0.680029
213,0.679972
214,0.679914
215,0.679857
216,0.679799
217,0.679742
218,0.679685
219,0.679627
220,0.67957
221,0.679513
222,0.679456
223,0.679399
224,0.679342
225,0.679285
226,0.679227
227,0.67917
228,0.679114
229,0.679057
230,0.679
231,0.678943
232,0.678886
233,0.678829
234,0.678772
235,0.678716
236,0.678659
237,0.678602
238,0.678546
239,0.678489
240,0.678433
241,0.678376
242,0.67832
243,0.678263
244,0.678207
245,0.67815
246,0.678094
247,0.678038
248,0.677981
249,0.677925
250,0.677869
251,0.677813
252,0.677757
253,0.677701
254,0.677645
255,0.677588
256,0.677532
257,0.677476
258,0.677421
259,0.677365
260,0.677309
261,0.677253
262,0.677197
263,0.677141
264,0.677086
265,0.67703
266,0.676974
267,0.676919
268,0.676863
269,0.676807
270,0.676752
271,0.676696
272,0.676641
273,0.676585
274,0.67653
275,0.676475
276,0.676419
277,0.676364
278,0.676309
279,0.676253
280,0.676198
281,0.676143
282,0.676088
283,0.676033
284,0.675978
285,0.675923
286,0.675868
287,0.675813
288,0.675758
289,0.675703
290,0.675648
291,0.675593
292,0.675538
293,0.675483
294,0.675428
295,0.675374
296,0.675319
297,0.675264
298,0.67521
299,0.675155
300,0.675101
301,0.675046
302,0.674991
303,0.674937
304,0.674883
305,0.674828
306,0.674774
307,0.674719
308,0.674665
309,0.674611
310,0.674557
311,0.674502
312,0.674448
313,0.674394
314,0.67434
315,0.674286
316,0.674232
317,0.674178
318,0.674124
319,0.67407
320,0.674016
321,0.673962
322,0.673908
323,0.673854
324,0.6738
325,0.673746
326,0.673693
327,0.673639
328,0.673585
329,0.673531
330,0.673478
331,0.673424
332,0.673371
333,0.673317
