Iteration,Cost
0,0.693133
1,0.693119
2,0.693105
3,0.693091
4,0.693077
5,0.693063
6,0.693048
7,0.693034
8,0.69302
9,0.693006
10,0.692992
11,0.692978
12,0.692964
13,0.69295
14,0.692936
15,0.692922
16,0.692908
17,0.692893
18,0.692879
19,0.692865
20,0.692851
21,0.692837
22,0.692823
23,0.692809
24,0.692795
25,0.692781
26,0.692767
27,0.692753
28,0.692739
29,0.692725
30,0.692711
31,0.692697
32,0.692682
33,0.692668
34,0.692654
35,0.69264
36,0.692626
37,0.692612
38,0.692598
39,0.692584
40,0.69257
41,0.692556
42,0.692542
43,0.692528
44,0.692514
45,0.6925
46,0.692486
47,0.692472
48,0.692458
49,0.692444
50,0.69243
51,0.692416
52,0.692402
53,0.692388
54,0.692374
55,0.69236
56,0.692346
57,0.692332
58,0.692318
59,0.692304
60,0.69229
61,0.692276
62,0.692262
63,0.692248
64,0.692234
65,0.69222
66,0.692206
67,0.692192
68,0.692178
69,0.692164
70,0.69215
71,0.692136
72,0.692122
73,0.692108
74,0.692094
75,0.69208
76,0.692066
77,0.692052
78,0.692038
79,0.692024
80,0.69201
81,0.691996
82,0.691983
83,0.691969
84,0.691955
85,0.691941
86,0.691927
87,0.691913
88,0.691899
89,0.691885
90,0.691871
91,0.691857
92,0.691843
93,0.691829
94,0.691815
95,0.691801
96,0.691787
97,0.691774
98,0.69176
99,0.691746
100,0.691732
101,0.691718
102,0.691704
103,0.69169
104,0.691676
105,0.691662
106,0.691648
107,0.691634
108,0.691621
109,0.691607
110,0.691593
111,0.691579
112,0.691565
113,0.691551
114,0.691537
115,0.691523
116,0.691509
117,0.691495
118,0.691482
119,0.691468
120,0.691454
121,0.69144
122,0.691426
123,0.691412
124,0.691398
125,0.691385
126,0.691371
127,0.691357
128,0.691343
129,0.691329
130,0.691315
131,0.691301
132,0.691287
133,0.691274
134,0.69126
135,0.691246
136,0.691232
137,0.691218
138,0.691204
139,0.691191
140,0.691177
141,0.691163
142,0.691149
143,0.691135
144,0.691121
145,0.691108
146,0.691094
147,0.69108
148,0.691066
149,0.691052
150,0.691038
151,0.691025
152,0.691011
153,0.690997
154,0.690983
155,0.690969
156,0.690956
157,0.690942
158,0.690928
159,0.690914
160,0.6909
161,0.690887
162,0.690873
163,0.690859
164,0.690845
165,0.690831
166,0.690818
167,0.690804
168,0.69079
169,0.690776
170,0.690763
171,0.690749
172,0.690735
173,0.690721
174,0.690707
175,0.690694
176,0.69068
177,0.690666
178,0.690652
179,0.690639
180,0.690625
181,0.690611
182,0.690597
183,0.690584
184,0.69057
185,0.690556
186,0.690542
187,0.690529
188,0.690515
189,0.690501
190,0.690487
191,0.690474
192,0.69046
193,0.690446
194,0.690432
195,0.690419
196,0.690405
197,0.690391
198,0.690377
199,0.690364
200,0.69035
201,0.690336
202,0.690323
203,0.690309
204,0.690295
205,0.690281
206,0.690268
207,0.690254
208,0.69024
209,0.690227
210,0.690213
211,0.690199
212,0.690185
213,0.690172
214,0.690158
215,0.690144
216,0.690131
217,0.690117
218,0.690103
219,0.69009
220,0.690076
221,0.690062
222,0.690049
223,0.690035
224,0.690021
225,0.690008
226,0.689994
227,0.68998
228,0.689966
229,0.689953
230,0.689939
231,0.689925
232,0.689912
233,0.689898
234,0.689885
235,0.689871
236,0.689857
237,0.689844
