Iteration,Cost
0,0.62859
1,0.62115
2,0.619314
3,0.618505
4,0.617972
5,0.617548
6,0.617183
7,0.616856
8,0.616556
9,0.616274
10,0.616005
11,0.615746
12,0.615493
13,0.615246
14,0.615002
15,0.614761
16,0.614522
17,0.614284
18,0.614047
19,0.613812
20,0.613577
21,0.613342
22,0.613109
23,0.612875
24,0.612642
25,0.61241
26,0.612177
27,0.611945
28,0.611714
29,0.611482
30,0.611251
31,0.61102
32,0.61079
33,0.61056
34,0.61033
35,0.6101
36,0.60987
37,0.609641
38,0.609412
39,0.609184
40,0.608955
41,0.608727
42,0.608499
43,0.608272
44,0.608045
45,0.607818
46,0.607591
47,0.607364
48,0.607138
49,0.606912
50,0.606687
51,0.606461
52,0.606236
53,0.606011
54,0.605786
55,0.605562
56,0.605338
57,0.605114
58,0.604891
59,0.604667
60,0.604444
61,0.604222
62,0.603999
63,0.603777
64,0.603555
65,0.603333
66,0.603112
67,0.60289
68,0.602669
69,0.602449
70,0.602228
71,0.602008
72,0.601788
73,0.601568
74,0.601349
75,0.60113
76,0.600911
77,0.600692
78,0.600474
79,0.600256
80,0.600038
81,0.59982
82,0.599603
83,0.599386
84,0.599169
85,0.598952
86,0.598736
87,0.59852
88,0.598304
89,0.598088
90,0.597873
91,0.597658
92,0.597443
93,0.597228
94,0.597014
95,0.5968
96,0.596586
97,0.596373
98,0.596159
99,0.595946
100,0.595733
101,0.595521
102,0.595308
103,0.595096
104,0.594884
105,0.594673
106,0.594461
107,0.59425
108,0.594039
109,0.593829
110,0.593618
111,0.593408
112,0.593198
113,0.592989
114,0.592779
115,0.59257
116,0.592361
117,0.592152
118,0.591944
119,0.591736
120,0.591528
121,0.59132
122,0.591113
123,0.590905
124,0.590698
125,0.590492
126,0.590285
127,0.590079
128,0.589873
129,0.589667
130,0.589461
131,0.589256
132,0.589051
133,0.588846
134,0.588641
135,0.588437
136,0.588233
137,0.588029
138,0.587825
139,0.587622
140,0.587419
141,0.587216
142,0.587013
143,0.586811
144,0.586608
145,0.586406
