Iteration,Cost
0,0.69313
1,0.693113
2,0.693096
3,0.693079
4,0.693062
5,0.693045
6,0.693028
7,0.69301
8,0.692993
9,0.692976
10,0.692959
11,0.692942
12,0.692925
13,0.692908
14,0.692891
15,0.692874
16,0.692857
17,0.69284
18,0.692823
19,0.692806
20,0.692789
21,0.692772
22,0.692755
23,0.692738
24,0.692721
25,0.692704
26,0.692687
27,0.69267
28,0.692653
29,0.692636
30,0.692619
31,0.692602
32,0.692585
33,0.692568
34,0.692551
35,0.692534
36,0.692517
37,0.6925
38,0.692483
39,0.692467
40,0.69245
41,0.692433
42,0.692416
43,0.692399
44,0.692382
45,0.692365
46,0.692348
47,0.692331
48,0.692314
49,0.692297
50,0.692281
51,0.692264
52,0.692247
53,0.69223
54,0.692213
55,0.692196
56,0.692179
57,0.692162
58,0.692146
59,0.692129
60,0.692112
61,0.692095
62,0.692078
63,0.692061
64,0.692045
65,0.692028
66,0.692011
67,0.691994
68,0.691977
69,0.69196
70,0.691944
71,0.691927
72,0.69191
73,0.691893
74,0.691876
75,0.69186
76,0.691843
77,0.691826
78,0.691809
79,0.691793
80,0.691776
81,0.691759
82,0.691742
83,0.691726
84,0.691709
85,0.691692
86,0.691675
87,0.691659
88,0.691642
89,0.691625
90,0.691608
91,0.691592
92,0.691575
93,0.691558
94,0.691542
95,0.691525
96,0.691508
97,0.691491
98,0.691475
99,0.691458
100,0.691441
101,0.691425
102,0.691408
103,0.691391
104,0.691375
105,0.691358
106,0.691341
107,0.691325
108,0.691308
109,0.691291
110,0.691275
111,0.691258
112,0.691242
113,0.691225
114,0.691208
115,0.691192
116,0.691175
117,0.691158
118,0.691142
119,0.691125
120,0.691109
121,0.691092
122,0.691075
123,0.691059
124,0.691042
125,0.691026
126,0.691009
127,0.690992
128,0.690976
129,0.690959
130,0.690943
131,0.690926
132,0.69091
133,0.690893
134,0.690877
135,0.69086
136,0.690843
137,0.690827
138,0.69081
139,0.690794
140,0.690777
141,0.690761
142,0.690744
143,0.690728
144,0.690711
145,0.690695
