Dataset,Degree,Lambda,TrainMSE,ValMSE,Weights
winequality_red,1,0,0.411931,0.446961,"51.1159 0.0585436 -1.03131 -0.306558 0.0407705 -1.41014 0.00268896 -0.0037007 -48.0513 -0.174545 0.749875 0.271134"
winequality_red,1,0.001,0.412753,0.442037,"14.313 0.0227437 -1.06829 -0.302417 0.0238535 -1.53058 0.00291635 -0.00377123 -10.4652 -0.361295 0.712489 0.304687"
winequality_red,1,0.01,0.413299,0.440961,"3.64336 0.0128653 -1.07907 -0.301783 0.0189281 -1.55369 0.00296951 -0.0037826 0.403794 -0.409047 0.701002 0.314572"
winequality_red,1,0.1,0.41345,0.441396,"2.09558 0.0161188 -1.08079 -0.306605 0.0180134 -1.44636 0.00285889 -0.00369953 1.7197 -0.355935 0.693184 0.31749"
winequality_red,1,1,0.415834,0.446799,"1.21575 0.0406214 -1.05897 -0.312524 0.0162897 -0.842448 0.00229509 -0.00326012 1.15426 -0.0260164 0.653454 0.326922"
winequality_red,2,0,0.393833,0.438564,"5950.51 0.311371 -0.950434 -1.23922 0.0620135 -0.700812 0.0106904 -0.00582813 -11881.2 1.67137 3.1675 0.679418 -0.0141099 -0.0306152 1.44983 -0.0025381 -1.59542 -0.000182079 1.58935e-05 5926.74 -0.296397 -1.31147 -0.0203148"
winequality_red,2,0.001,0.394887,0.436672,"12.4336 0.211103 -1.14534 -1.20249 0.0283676 -1.11326 0.0111959 -0.00603846 -1.33571 2.29112 3.09051 0.622679 -0.00999897 0.111838 1.35922 -0.000331659 -0.790239 -0.000185447 1.8016e-05 -14.8981 -0.41309 -1.29238 -0.0158991"
winequality_red,2,0.01,0.395687,0.435566,"1.66646 0.184132 -1.26195 -1.1808 0.0104217 -1.26822 0.0118307 -0.00637063 -0.936781 1.96022 3.0544 0.622037 -0.00966966 0.192942 1.31763 0.000450557 -0.547304 -0.000192717 1.9697e-05 -3.51331 -0.379689 -1.2874 -0.0149604"
winequality_red,2,0.1,0.396162,0.434506,"0.173395 0.186525 -1.214 -1.06287 0.0062511 -1.20945 0.0123566 -0.006652 -0.130079 0.563411 2.89827 0.61715 -0.0100303 0.150708 1.14208 0.000624667 -0.547791 -0.000197462 2.07132e-05 -0.430717 -0.170308 -1.21796 -0.0144106"
winequality_red,2,1,0.399936,0.436205,"0.0885754 0.189754 -0.811871 -0.575388 0.000232585 -0.79923 0.0134412 -0.0073727 0.0541133 0.200794 1.9031 0.59535 -0.00945058 -0.167875 0.443407 0.0012197 -0.394054 -0.000202266 2.32739e-05 0.0199384 -0.0900565 -0.719091 -0.012875"
winequality_red,3,0,0.448083,0.57574,"4539.91 -0.0795133 -3.56631 -1.14271 -0.0531716 -6.42923 0.0207616 0.00137855 -11297.6 -52.5735 8.95204 -13.1758 0.0245726 4.17437 0.875107 0.0208094 27.7378 -0.000812033 -5.78552e-05 9336.3 16.3053 -7.58229 1.22692 -0.00117953 -2.00603 0.379329 -0.00123269 -36.3658 8.76027e-06 1.94566e-07 -2472.17 -1.6907 1.98129 -0.0370548"
winequality_red,3,0.001,0.379773,0.439706,"23.2188 -0.0479426 -3.88184 -1.21919 -0.0982754 -3.92977 0.0214078 0.000882418 10.9966 17.8584 8.4356 -10.9218 0.016412 4.58373 1.28531 0.0256873 14.577 -0.000803275 -5.56325e-05 -1.08729 -4.78597 -7.0938 1.02565 -0.000823486 -2.16406 -0.0506413 -0.00138674 -19.2911 8.49989e-06 1.961e-07 -13.0344 0.405568 1.84856 -0.0310493"
winequality_red,3,0.01,0.384507,0.435016,"7.14056 -0.13245 -3.56446 -1.16903 -0.151806 -1.553 0.0234387 -0.000375733 4.08005 7.00046 6.91171 -4.86756 0.0215391 3.98916 1.42529 0.0308243 2.37525 -0.000853784 -4.6031e-05 1.04675 -1.39745 -5.50379 0.483128 -0.000983449 -1.8469 -0.272202 -0.00153441 -4.05822 8.80942e-06 1.81243e-07 -1.9596 0.0499339 1.35204 -0.0149076"
winequality_red,3,0.1,0.390589,0.4348,"1.01762 -0.0769941 -1.79818 -0.914473 -0.156458 -1.0803 0.0261088 -0.00121291 0.697643 1.17629 3.42208 -0.81677 0.016878 1.18679 0.652669 0.030479 -0.425217 -0.000956968 -3.85195e-05 0.380702 0.346451 -1.86533 0.121451 -0.000860949 -0.52748 0.442951 -0.0014716 -0.761274 9.92174e-06 1.65195e-07 0.0667727 -0.122018 0.240208 -0.00422339"
winequality_red,3,1,0.395573,0.436457,"0.153864 0.0149796 -0.801073 -0.587235 -0.158948 -0.824098 0.0282586 -0.001875 0.1198 0.285517 1.22483 0.0834883 0.0086492 -0.144294 0.257478 0.0306857 -0.390371 -0.00102233 -3.4376e-05 0.0860488 0.396272 0.252793 0.043864 -0.000598186 -0.00654005 0.349135 -0.00145908 -0.230118 1.05822e-05 1.5932e-07 0.0526077 -0.10153 -0.371334 -0.00200043"
winequality_red,4,0,0.381361,0.461636,"-8785.97 -1.47553 -7.03898 -0.124806 0.417293 -13.1878 0.0302265 0.00872354 8781.99 739.955 9.99696 47.2932 0.251815 13.1009 -5.52863 -0.121184 82.0315 -0.00157867 -0.000226265 23112 -345.779 -9.2147 -6.87135 -0.0172295 -11.3434 14.0998 0.0147369 -190.093 3.16601e-05 1.43137e-06 -40203.7 71.6514 2.97658 0.441283 0.0004137 3.37882 -9.01338 -0.00056238 137.454 -2.0784e-07 -2.62719e-09 16387.8 -5.55733 -0.199369 -0.0105139"
winequality_red,4,0.001,0.374715,0.460247,"2.14368 -0.867122 -5.43035 -0.636376 0.403512 -3.89983 0.0280839 0.00911764 -0.559129 -1.82345 7.95204 17.269 0.145893 8.96002 -2.70648 -0.120439 12.7374 -0.00158388 -0.000223481 -3.19669 -8.14614 -6.11889 -2.86896 -0.00945466 -6.99456 9.0042 0.0148148 -9.02471 3.34031e-05 1.38379e-06 -5.76992 3.5224 1.08047 0.206003 0.000209674 1.80366 -6.27458 -0.000566473 -11.66 -2.2733e-07 -2.48779e-09 -8.27974 -0.415217 0.199184 -0.00536649"
winequality_red,4,0.01,0.377687,0.451526,"1.87334 0.107539 -3.11048 -1.23103 0.324316 -1.6374 0.0336481 0.00737911 0.206457 1.40688 4.81558 6.51548 -0.0101621 2.89129 0.771412 -0.107526 3.0343 -0.00191131 -0.000191584 -1.4446 -0.416361 -1.60498 -1.41382 0.00095033 -0.698278 2.31986 0.0139111 -2.44697 4.07985e-05 1.17158e-06 -3.07999 0.131876 -1.56485 0.119308 -4.00238e-05 -0.42682 -2.32235 -0.000544195 -3.73675 -2.8338e-07 -2.04701e-09 -4.69989 -0.0237403 0.7373 -0.0034428"
winequality_red,4,0.1,0.380912,0.44594,"0.768575 0.706861 -1.99455 -1.07653 0.252176 -0.966127 0.0412831 0.00493822 0.442274 1.08249 3.08547 2.19923 -0.110438 0.769358 0.973032 -0.0961805 -0.149944 -0.00232517 -0.000155351 0.11854 0.901858 0.0554479 -0.760321 0.00788886 0.740705 0.538813 0.0131066 -0.603771 4.9718e-05 9.67423e-07 -0.202649 -0.361966 -1.95811 0.0763868 -0.000213389 -0.696608 -0.603891 -0.000523271 -0.635549 -3.48158e-07 -1.6642e-09 -0.521319 0.0296058 0.689207 -0.00240228"
