Dataset,Degree,Lambda,TrainMSE,ValMSE,Weights
winequality_white,1,0,0.591605,0.516533,"156.108 0.0521416 -1.63262 -5.25839e-05 0.0821876 0.0784954 0.00443771 -0.000199471 -156.91 0.791598 0.822017 0.21887"
winequality_white,1,0.001,0.595014,0.51593,"61.7964 -0.0219327 -1.70238 -0.0331367 0.046331 -0.445134 0.00528549 -0.000602814 -61.1859 0.453998 0.678042 0.325536"
winequality_white,1,0.01,0.599762,0.517121,"10.2092 -0.0623915 -1.74011 -0.0512102 0.026723 -0.726548 0.00575028 -0.00082379 -8.82902 0.269802 0.599174 0.383926"
winequality_white,1,0.1,0.600736,0.517553,"1.75318 -0.0684254 -1.74164 -0.0538796 0.0235587 -0.723825 0.00583747 -0.000863583 -0.274323 0.244365 0.585046 0.393951"
winequality_white,1,1,0.600955,0.518827,"0.74659 -0.064389 -1.69348 -0.0486098 0.0234938 -0.440643 0.00594961 -0.000896616 0.532344 0.279762 0.572198 0.398008"
winequality_white,2,0,0.54927,0.639353,"7514.95 0.632679 -2.35845 0.922149 0.14068 -1.13375 0.0273147 0.00558915 -14866 1.72313 1.13586 -0.303328 -0.0341831 1.26326 -1.10494 -0.00259132 5.46908 -0.000276264 -1.95958e-05 7348.03 -0.101305 -0.189257 0.0169834"
winequality_white,2,0.001,0.555829,0.647279,"61.1829 0.435331 -2.44843 0.979973 0.0517684 -2.78072 0.030075 0.00421274 -2.19524 3.90384 0.789698 -0.428873 -0.0271791 1.37948 -1.20591 0.000541205 10.4475 -0.00029313 -1.64932e-05 -62.897 -0.499384 -0.0240065 0.0304717"
winequality_white,2,0.01,0.561595,0.653867,"12.7484 0.301189 -2.38074 0.934661 0.0276453 -2.43987 0.0313355 0.00327266 -1.6462 4.94912 0.554944 -0.317657 -0.0228827 1.20439 -1.17532 -1.8306e-05 7.15659 -0.000299309 -1.50955e-05 -15.7331 -0.709866 0.0816343 0.0303678"
winequality_white,2,0.1,0.56455,0.655222,"1.36914 0.272448 -2.22362 0.900735 0.020196 -1.21928 0.0318543 0.00294153 -0.340536 2.79202 0.455902 -0.275009 -0.0225276 0.981411 -1.1494 -0.000182296 1.225 -0.000302065 -1.46064e-05 -2.01748 -0.392731 0.135863 0.0300632"
winequality_white,2,1,0.566107,0.660493,"0.452293 0.307048 -1.58651 0.697578 0.0184108 -0.607782 0.0324654 0.00278029 0.272109 0.953988 0.34947 -0.0910191 -0.0249829 0.153627 -0.923022 -0.000151163 0.026005 -0.000306268 -1.44141e-05 0.0954004 -0.109366 0.227059 0.0219448"
winequality_white,3,0,0.706233,0.648815,"-68716.8 0.348262 -5.36527 2.47587 0.126306 -9.69913 0.0448413 0.00832912 214992 -58.3343 2.92311 -3.8596 -0.00423298 9.75068 -4.13053 -0.00158275 88.2012 -0.000658639 -3.86952e-05 -223459 18.3477 -3.52516 0.347728 -0.00104074 -6.68167 1.55268 -3.3669e-05 -203.584 2.23636e-06 4.17825e-08 77258.7 -1.88672 1.95673 -0.0101635"
winequality_white,3,0.001,0.546209,0.629918,"47.7469 0.240049 -5.33962 2.54904 0.106291 -2.64248 0.0480885 0.0056498 12.8364 23.0305 2.24515 -3.3598 -0.00140654 9.62066 -4.21015 -0.00233713 14.2564 -0.000700308 -2.71726e-05 -20.8855 -6.52924 -2.58621 0.291682 -0.000869482 -6.60167 1.57119 4.87041e-05 -16.3358 2.40795e-06 2.55671e-08 -53.4292 0.636507 1.5323 -0.0079276"
winequality_white,3,0.01,0.551912,0.642414,"14.5569 0.530202 -4.68124 2.4194 0.0627598 -2.1948 0.0503336 0.00394973 2.6167 12.4637 1.63578 -0.482064 -0.0517213 7.90648 -3.99836 -0.00176869 6.44284 -0.000722079 -2.1167e-05 -9.11296 -3.20984 -1.9981 0.038435 0.00132601 -5.41434 1.47958 3.1113e-05 0.0509961 2.48822e-06 1.62513e-08 -20.6338 0.277977 1.32562 -0.000216661"
winequality_white,3,0.1,0.558802,0.652449,"1.79716 0.681571 -2.57302 1.86355 0.0385846 -1.21238 0.0512885 0.0030368 0.0857566 1.76664 0.491401 0.0940871 -0.0776765 2.33416 -3.00547 -0.00148821 1.23054 -0.000729075 -1.90129e-05 -1.59906 0.0932564 -0.257739 -0.00712531 0.00242417 -1.29746 1.00823 2.02612e-05 0.27444 2.5095e-06 1.46467e-08 -3.2575 -0.0676355 0.435593 0.00116145"
winequality_white,3,1,0.561886,0.661411,"0.173649 0.536024 -1.57199 0.768554 0.035494 -0.611508 0.051841 0.00275112 -0.0090552 0.314545 0.244714 -0.0182885 -0.0592164 -0.000138297 -0.98674 -0.00149596 0.0371614 -0.000736006 -1.84551e-05 -0.188954 0.472221 0.158147 0.00679568 0.00164321 0.113547 0.0350728 1.91923e-05 0.0134666 2.53377e-06 1.49186e-08 -0.366073 -0.100142 0.208434 0.000683797"
